Gene_ID	TCGA-09-1664	TCGA-13-1484	TCGA-13-1488	TCGA-13-1489	TCGA-13-1494	TCGA-13-1495	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1105	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2027	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-24-2290	TCGA-24-2295	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1623	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1697	TCGA-29-1762	TCGA-29-1763	TCGA-29-1768	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-1785	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1900	TCGA-61-1907	TCGA-61-1911	TCGA-61-1914	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2096	TCGA-61-2612
A1BG			-0.047			-0.237		-1.116					-2.108							-0.592				0.511																0.82		-1.261				-0.57									0.454	0.705							0.664								-0.759						-0.456						-0.695	
A2M	-0.089	-0.419	-0.357	-1.775	0.067	-0.172	0.026	0.399	-1.472	0.013	2.984	1.47	-0.931	-0.731	-0.884	1.137	-1.768	0.566	0.454	-0.589	0.039	-0.94	0.089	0.592	-1.878	-0.824	1.492	1.461	-1.64	-0.701	0.213	0.422	-1.258	-0.072	0.785	0.097	-1.077	-0.729	0.243	0.914	0.256	0.734	-0.862	0.659	0.335	0.935	1.032	1.294	1.043	0.461	0.586	-0.793	-0.256	-0.739	0.663	0.124	0.961	0.091	-0.248	-1.515	1.815	0.809	-0.741	-0.997	-1.579	-1.588	1.671	-1.616	1.87	-0.162	-0.491	2.406	-0.422	0.726	2.275	-1.134	0.62	0.091	1.503	0.154	-0.727	-0.818	0.817	0.727
AAAS	1.605	1.242	-0.464	0.097	1.711	0.93	-1.756	-1.73	-0.863	-0.916	-0.363	2.134	-0.614	0.129	-0.214	-1.82	0.888	-0.911	0.274	0.545	-1.2	0.032	1.971	0.032	0.969	1.792	1.05	0.62	-1.923	0.487	0.888	-0.136	0.707	0.534	0.22	-0.403	1.329	-0.051	-1.021	1.427	0.384	-0.648	-0.057	-0.415	-0.267	-0.268	-2.176	1.171	-1.246	-2.944	-0.605	0.633	0.505	-0.039	-0.877	-1.981	1.438	-1.034	-0.165	0.003	-0.416	-0.55	1.262	-1.305	0.322	0.597	-0.887	-1.071	-0.862	0.493	0.876	0.48	0.844	-0.808	-0.484	2.092	0.079	-0.168	1.289	-0.813	1.05	1.746	0.288	1.111
AACS		-0.439	-0.766	-1.019		0.853	2.131			-0.624			-0.251						0.449	-0.413				-1.62					-1.092		-2.569			-1.267	-0.135			1.142	0.165	-0.866	-1.406	-0.153	-0.661	-1.546		0.663		0.691	0.13					-0.779	0.25			0.555	1.359	-0.344			0.507	0.086			1.728		0.045			1.946	-0.123			0.732	-2.011			-0.282			-0.983	
AAK1	-0.314	-0.209	-1.088	-0.041	-1.684	0.125	0.816	1.581	0.302	-0.513	-0.855	0.208	0.403	1.006	0.903	-0.173	1.088	0.054	0.848	-1.327	-0.571	1.248	-1.579	-1.249	0.582	-1.24	1.643	0.489	0.298	-0.721	1.325	-0.205	0.252	0.364	-0.138	0.463	0.405	0.584	0.299	2.097	-0.228	1.068	-0.196	0.394	-0.421	-1.102	0.753	1.06	1.317	1.173	1.716	-0.084	0.336	0.364	0.496	0.222	-1.493	-1.749	-0.82	-2.031	-0.264	-0.414	0.581	1.355	0.853	-1.636	0.246	-1.704	-0.097	2.819	-1.581	0.39	1.216	1.644	0.627	0.925	-0.865	0.862	0.894	0.266	0.732	-0.162	1.345	1.057
AAMDC	0.529	-0.488	1.502	-0.099	0.25	0.696		-1.329	-0.492	0.542	0.883	1.284	-1.055	-0.035	-1.004	-0.008	-0.115	-0.819	1.054	1.478	0.594	-0.202	1.037	-0.414	-1.228	-0.537	-0.63	0.763	0.366	0.024	0.909	-0.726	0.817	-0.448	0.509	-0.573	0.664	-0.149	0.061	-1.021	-0.194	-1.336	-0.688	-1.157	1.583	0.524	1.164		2.636	1.25	0.93	1.184	0.542	-2.152	-0.288	1.002	1.573	0.268	0.522		-0.127	0.535	-0.538	1.77	1.541	0.895	-0.117	1.551	0.003	-0.665	1.256	0.768	-0.386	1.294	0.914	-1.559	-0.151	2.315	-0.038	-0.336	0.957	0.836	-2.005	-0.283
AAMP	-0.729	1.321	-0.582	1.436	0.476	0.239	-0.273	-1.882	0.179	-0.132	1.579	0.386	-1.886	-2.56	1.3	-1.481	-1.867	-1.649	0.597	-0.616		0.338	1.649	1.574	-1.51	0.811	-0.593		-0.759	0.241	-0.568		-0.127	0.268	1.054	1.22	-1.097	0.138	-0.063	-0.618	-0.147	0.427	1.52	0.827	-0.018	-1.453	0.906	0.696	0.223	0.735	-1.666	1.497	1.296	1.639	-1.216	-2.274	1.577	0.524	0.372	0.478	-0.129		1.095	0.293	-0.291	0.443	1.505	1.078	0.884	-0.981	-0.545	1.011	0.307	-1.222	0.944	0.428	0.825	0.365	-1.531	0.491		0.977	-0.722	
AAR2	0.329	1.046	-0.716	0.649	0.572	0.917	0.822	-0.416	-1.199	2.452	-0.482	-0.402	0.278	-0.228	1.092	0.259	-0.027	0.382	0.357	-0.63	0.086	0.587	-1.543	-1.457	-1.058	-0.198	1.149	-1.709	-1.34	-0.558	0.83	0.667	0.859	-1.21	-1.044	0.772	2.548	-0.057	-0.939	-0.652	1.3	-0.716	0.283	0.472	-0.304	-0.551	0.152	-0.507	-1.712	0.728	-0.26	-0.42	1.293	0.968	-0.335	-0.322	-0.645	-0.022	-1.988	-0.122	-1.093	-1.224	0.19	0.717	-0.508	-0.179	0.898	0.474	1.955	0.386	-0.686	1.335	-0.68	-0.639	1.287	1.063	0.905	-0.683	0.9	0.738	-0.017	-0.805	-0.559	-0.026
AARS	-0.628	1.513	1.048	0.323	0.838	-0.185	-2.265	1.404	-0.364	-1.412	-0.61	0.479	0.785	-0.995	0.005	0.699	0.241	3.314	-1.577	0.521	3.139	0.236	-0.239	-1.256	-2.171	-2.686	0.136	-0.318	0.383	0.591	-1.004	-0.256	-0.578	0.521	1.03	1.385	1.98	-1.957	0.753	-2.095	-0.44	-1.744	2.133	-0.76	0.261	0.164	2.488	0.35	0.391	-0.09	-0.039	0.095	-0.221	-1.148	-2.216	-0.327	1.14	0.814	-0.43	-0.784	-1.522	-0.122	-2.741	-0.38	-0.858	-0.144	-0.827	0.045	-1.923	-0.368	-1.033	1.624	0.444	0.912	0.104	-2.591	1.945	-0.989	-0.646	-0.983	1.115	2.001	-1.458	2.156
AARS2	-0.035	-1.345	-0.53	-0.589	-0.415	1.042	-0.845	-0.965	0.063	0.494	-1.617	1.251	-0.851	0.556	1.076	-1.43	-0.524	-0.076	0.263	1.046	0.685	-0.027	1.261	-1.036	-0.051	-0.109	2.285	-1.506	0.843	-0.524	0.388	0.229	0.077	1.463	-0.437	-0.015	-1.973	-0.281	-1.972	1.716	-0.424	-0.501	1.604	-1.76	0.329	2.269	0.063	0.853	0.138	0.697	-0.103	0.795	-0.412	-1.231	-0.371	-0.434	-0.22	-0.857	1.506	-0.416	-0.414	0.953	1.51	-0.794	0.672	1.964	0.946	0.738	1.16	-0.326	0.632	-0.068	-0.86	1.113	1.165	-0.525	-2.412	-0.381	0.405	0.374	-1.031	0.285	-0.213	0.349
AARSD1	0.911	0		-0.746	-0.185	0.755	0.5	1.365	-0.135	-0.12		1.181	-0.057	1.69	-0.79	-0.401	0.621	-1.991		-0.853		-1.33	1.149	2.687	-1.005	0.973	0.684		-0.911	0.318	2.622		-0.768	-1.281	-0.299	0.434	-0.426		-1.308	1.022	-0.811	0.263		-1.4	-0.077		1.096	0.975	0.272	1.102	-0.365	1.37	0.652			1.533	-1.364	0.441	-0.218	-1.688			0.744	-1.066	1.224	1.367	-3.346	0.875	-1.748		-0.176	0.335	2.297	0.011	1.053	-0.474	-0.004	0.809	1.333	-0.798		0.852	1.351	
AASDHPPT	0.515	-1.356	1.081	-0.675	0.746	3.568	0.53	-0.724	1.311	-0.613	-0.352	-3.292	0.689	-0.066	0.154	1.28	-0.248	1.405	1.898	0.198	0.444	0.717	-0.141	-0.956	-0.11	0.521	0.057	-0.935	0.6	-1.43	-1.519	0.873	0.975	-1.144	0.111	-1.036	-0.427	-1.525	1.378	-0.272	-1.145	1.131	0.998	-0.759	-1.503	-1.146	2.592	1.481	1.258	0.115	0.32	-1.057	-0.107	0.359	-0.957	0.363	-0.587	-0.106	1.328	0.668	-0.937	1.249	-1.001	0.403	2.224	-0.836	0.423	-1.875	1.412	0.861	0.552	0.15	0.52	-0.481	0.161	-0.176	-1.895	0.855	-0.697	-0.319	0.304	-0.512	-0.678	1.554
AASS				-1.003	1.675			-2.434		-1.197		1.35	-1.523					-0.57	-1.017	0.094				-0.037														-3.062		-3.197		0.737			-1.131		1.203		0.248					-0.826		0.892							2.443		-1.934				0.006		0.254		-0.057			1.507								
AATF				1.319	0.205	-0.745					-2.425	0.157	-0.648		-0.193		-2.014		0.878	-1.372		-0.449		-0.163									-0.051		-1.086					-1.035		-1.156					-0.551			-0.173		0.346		1.504			0.42		-1.336		-0.46		0.161			1.109	-0.286		2.373	-1.2			0.922	0.721			-1.146						0.539	
ABAT						-1.476	0.056	-1.377					-1.471	1.198	-0.708	-0.152	1.061			0.092		-1.274		-0.773		1.035	0.067			-2.071									-2.749	0.996		-0.552	0.272					0.659					1.499			0.445				-0.292			1.344								2.589	-0.143					0.46						0.514	
ABCA1	0.126		-0.825	-1.063	-1.194	0.12		-0.732	0.738	1.491	0.518	0.128	-1.548	1.152	2.417	0.784	0.438	0.852	-0.117		0.127	1.56	-1.32		0.266	0.299	0.711	-1.639	-0.2	-0.435	0.406	1.573	1.524	-0.808	-1.467	-0.646	-0.944	0.657	0.564	-0.586	0.914		-0.25	0.396	-0.345	-2.621	-1.992		-1.368	-2.383	-0.461	0.59	0.412	-0.915	0.894	-0.575	-0.887	1.098	0.513		-0.678	-1.591	-0.809		0.726	0.686	-0.433	1.192	-0.847	-0.378	-1.084	0.516	-0.478	-1.15	-0.075	0.524	-0.547	-1.73	-0.9		0.355	0.218	-0.965	-0.249
ABCB10			0.851	0.485	-0.367	-0.745	0.748	0.803	-0.233	-1.019		0.746	1.108	-1.371	0.587	-1.046	0.722	-0.64	1.768	-2.535	0.727	-2.263	-1.229	0.69	1.972	1.968	0.744	0.82	1.12	-0.597	-2.135	0.048	-0.375	0.865	-0.586	1.247	-0.157	-0.892	0.543	-0.733	1.294	-0.19	-0.705	-1.071	-0.053	2.293	-0.98	-0.202	-1.099	0.729	-0.817	-1.34	0.82	0.541	-2.141	-2.56	0.1	1.825	0.433	-1.843		-0.634	-1.515		-0.586	0.554	0.35	-1.354	1.581		0.902	0.751	0.307	-1.011		0.11	-0.865		-0.984		-0.141	-1.608	0.299	0.32
ABCB6	0.012			3	1.148	-1.111			0.394	0.489	-0.191	-0.721						1.069	0.366	-1.043			0.223	-0.404					0.823		-0.564		-0.262	-0.218	2.077			-1.156	-0.036		0.32	-1.719	2.374	0.164	-0.701		-2.53		-1.222		-1.041			1.012			0.817	2.439	2.298		0.012				-0.471		-0.565	0.55	0.921	0.394		0.179	-1.002	-0.366	0.063	-1.125	-0.543	0.177	0.151			-0.234	-1.592	
ABCB7	1.296	-1.91	-1.998	0.302	-1.97	-0.086	0.74	0.196	0.414	-2.024	0.032	0.054	-0.199	-0.459	-1.458	-1.422	-0.082	-0.356	0.259	-1.974	0.947	-0.535	-0.29	0.517		-0.414	-1.027	1.244	1.393	0.533	1.043	1.215	-1.65	1.218	1.366			-0.127	0.411	0.915	-0.88	0.407	-0.645	0.068	-0.372	-0.497	1.276	0.126	2.013	0.056	-0.102	0.217	-0.352	-1.509	-0.214	-0.067	-1.044	0.519	-2.644	-1.501	-0.291	-0.521	0.328	2.4	0.428	-2.256	-1.202	-1.052	1.102	1.972	2.292	1.378	2.22	-1.35	-1.05	0.77	-0.421	-0.451	0.427	0.872	0.973	-1.055	1.475	-0.085
ABCB8		-1.074	0.895	0.096	1.912					0.209	1.861	-0.413	-0.5			0.586				-1.898				0.347		-0.004			-0.162		0.599		0.796	-0.904	0.703				-0.494	0.686	0.843	0.326	1.867	0.524		0.084	-0.542		1.831	0.023		-1.23	0.037		-0.087		-1.027	-0.246	-1.551		-0.536		0.967	-0.463		-0.276	-0.295		1.457	-1.093		0.787	-1.756	0.882		0.921				-0.433				
ABCC1		2.16		-0.06	0.207	0.473	-0.535	0.035	1.017			-1.07	-0.319	-0.273	-0.236	0.168	-0.712	-0.092	1.352	0.31	-0.685	1.981	-0.166	0.014		-1.24	-2.038	-1.745	-2.231	-0.643	-0.574	0.31	0.048		0.043			0.732	-0.542	0.007		-0.493	-0.163	-1.254	0.914		1.06	-0.392		-0.379	0.6	0.895	0.357	0.421		0.914	-0.612		-1.481	-0.01		-1.567	-1.247	0.277	-0.528	2.131	0.377	0.569	0.693		-0.046	-0.358	1.589	-0.573			1.119		0.034	-2.236	0.52	-0.806	0.426	-1.452
ABCC3	-0.812	0.192	-0.606	1.386	1.786	-0.131	1.218		0.09	-1.246	-2.418	0.167	-0.246		-0.52	0.111	-1.441	0.698	-0.285	-0.697	-0.295	0.621	0.468	1.664		-1.485		1.302	-0.472		-1.265	-0.397		-0.118	-2.98			-0.795	0.768	-0.481	1.471	0.022	-1.219	-0.317	0.356	-0.971	-1.228	0.157	-0.943	0.449	1.202	-0.436	1.529	2.005	0.257			-0.847	-1.454	1.06	0.308	0.128	0.515	1.171	1.245	0.505	0.754	2.128	0.62	-1.076		-0.392	0.342		1.639	1.207	-0.78	0.275	1.65	-0.081	1.008	0.272	-0.811	1.128
